id,long,lat
1132,115.45,-30.7
1133,115.45,-30.75
1134,115.45,-30.8
1135,115.45,-30.85
1136,115.45,-30.9
1137,115.45,-30.95
1138,115.45,-31
1139,115.45,-31.05
1140,115.45,-31.1
1141,115.45,-31.15
1142,115.45,-31.2
1143,115.45,-31.25
1144,115.5,-27.95
1145,115.5,-28
1146,115.5,-28.05
1147,115.5,-28.1
1148,115.5,-28.15
1149,115.5,-28.2
1150,115.5,-28.25
1151,115.5,-28.3
1152,115.5,-28.35
1153,115.5,-28.4
1154,115.5,-28.45
1155,115.5,-28.5
1156,115.5,-28.55
1157,115.5,-28.6
1158,115.5,-28.65
1159,115.5,-28.7
1160,115.5,-28.75
1161,115.5,-28.8
1162,115.5,-28.85
1163,115.5,-28.9
1164,115.5,-28.95
1165,115.5,-29
1166,115.5,-29.05
1167,115.5,-29.1
1168,115.5,-29.15
1169,115.5,-29.2
1170,115.5,-29.25
1171,115.5,-29.3
1172,115.5,-29.35
1173,115.5,-29.4
1174,115.5,-29.45
1175,115.5,-29.5
1176,115.5,-29.55
1177,115.5,-29.6
1178,115.5,-29.65
1179,115.5,-29.7
1180,115.5,-29.75
1181,115.5,-29.8
1182,115.5,-29.85
1183,115.5,-29.9
1184,115.5,-29.95
1185,115.5,-30
1186,115.5,-30.05
1187,115.5,-30.1
1188,115.5,-30.15
1189,115.5,-30.2
1190,115.5,-30.25
1191,115.5,-30.3
1192,115.5,-30.35
1193,115.5,-30.4
1194,115.5,-30.45
1195,115.5,-30.5
1196,115.5,-30.55
1197,115.5,-30.6
1198,115.5,-30.65
1199,115.5,-30.7
1200,115.5,-30.75
1201,115.5,-30.8
1202,115.5,-30.85
1203,115.5,-30.9
1204,115.5,-30.95
1205,115.5,-31
1206,115.5,-31.05
1207,115.5,-31.1
1208,115.5,-31.15
1209,115.5,-31.2
1210,115.5,-31.25
1211,115.5,-31.3
1212,115.5,-31.35
1213,115.55,-27.95
1214,115.55,-28
1215,115.55,-28.05
1216,115.55,-28.1
1217,115.55,-28.15
1218,115.55,-28.2
1219,115.55,-28.25
1220,115.55,-28.3
1221,115.55,-28.35
1222,115.55,-28.4
1223,115.55,-28.45
1224,115.55,-28.5
1225,115.55,-28.55
1226,115.55,-28.6
1227,115.55,-28.65
1228,115.55,-28.7
1229,115.55,-28.75
1230,115.55,-28.8
1231,115.55,-28.85
1232,115.55,-28.9
1233,115.55,-28.95
1234,115.55,-29
1235,115.55,-29.05
1236,115.55,-29.1
1237,115.55,-29.15
1238,115.55,-29.2
1239,115.55,-29.25
1240,115.55,-29.3
1241,115.55,-29.35
1242,115.55,-29.4
1243,115.55,-29.45
1244,115.55,-29.5
1245,115.55,-29.55
1246,115.55,-29.6
1247,115.55,-29.65
1248,115.55,-29.7
1249,115.55,-29.75
1250,115.55,-29.8
1251,115.55,-29.85
1252,115.55,-29.9
1253,115.55,-29.95
1254,115.55,-30
1255,115.55,-30.05
1256,115.55,-30.1
1257,115.55,-30.15
1258,115.55,-30.2
1259,115.55,-30.25
1260,115.55,-30.3
1261,115.55,-30.35
1262,115.55,-30.4
1263,115.55,-30.45
1264,115.55,-30.5
1265,115.55,-30.55
1266,115.55,-30.6
